id,female,ses,schtyp,prog,read,write,math,science,socst,honors,awards,cid
45.0,1,1,1,3,34.0,35.0,41.0,29.0,26.0,0,0.0,1
108.0,0,2,1,1,34.0,33.0,41.0,36.0,36.0,0,0.0,1
15.0,0,3,1,3,39.0,39.0,44.0,26.0,42.0,0,0.0,1
67.0,0,1,1,3,37.0,37.0,42.0,33.0,32.0,0,0.0,1
153.0,0,2,1,3,39.0,31.0,40.0,39.0,51.0,0,0.0,1
51.0,1,3,1,1,42.0,36.0,42.0,31.0,39.0,0,0.0,1
164.0,0,2,1,3,31.0,36.0,46.0,39.0,46.0,0,0.0,1
133.0,0,2,1,3,50.0,31.0,40.0,34.0,31.0,0,0.0,1
2.0,1,2,1,3,39.0,41.0,33.0,42.0,41.0,0,0.0,1
53.0,0,2,1,3,34.0,37.0,46.0,39.0,31.0,0,0.0,1
1.0,1,1,1,3,34.0,44.0,40.0,39.0,41.0,0,0.0,1
128.0,0,3,1,2,39.0,33.0,38.0,47.0,41.0,0,0.0,2
16.0,0,1,1,3,47.0,31.0,44.0,36.0,36.0,0,0.0,2
106.0,1,2,1,3,36.0,44.0,37.0,42.0,41.0,0,0.0,2
89.0,1,1,1,3,35.0,35.0,40.0,51.0,33.0,0,0.0,2
134.0,0,1,1,1,44.0,44.0,39.0,34.0,46.0,0,0.0,2
19.0,1,1,1,1,28.0,46.0,43.0,44.0,51.0,0,0.0,2
145.0,1,2,1,3,42.0,46.0,38.0,36.0,46.0,0,0.0,2
11.0,0,2,1,2,34.0,46.0,45.0,39.0,36.0,0,0.0,2
117.0,0,3,1,3,34.0,49.0,39.0,42.0,56.0,0,0.0,2
109.0,1,2,1,1,42.0,39.0,42.0,42.0,41.0,0,0.0,2
12.0,0,2,1,3,37.0,44.0,45.0,39.0,46.0,0,0.0,3
37.0,1,1,1,3,41.0,47.0,40.0,39.0,51.0,0,0.0,3
69.0,1,1,1,3,44.0,44.0,40.0,40.0,31.0,0,0.0,3
43.0,1,1,1,2,47.0,37.0,43.0,42.0,46.0,0,0.0,3
196.0,0,3,2,2,44.0,38.0,49.0,39.0,46.0,0,0.0,3
36.0,1,1,1,1,44.0,49.0,44.0,35.0,51.0,0,0.0,3
155.0,0,2,1,1,44.0,44.0,46.0,39.0,51.0,0,0.0,3
6.0,1,1,1,2,47.0,41.0,46.0,40.0,41.0,0,0.0,3
4.0,1,1,1,2,44.0,50.0,41.0,39.0,51.0,0,1.0,3
25.0,1,2,1,1,47.0,44.0,42.0,42.0,36.0,0,0.0,4
107.0,0,1,1,3,47.0,39.0,47.0,42.0,26.0,0,0.0,4
5.0,0,1,1,2,47.0,40.0,43.0,45.0,31.0,0,0.0,4
47.0,1,1,1,2,47.0,46.0,49.0,33.0,41.0,0,0.0,4
140.0,0,2,1,3,44.0,41.0,40.0,50.0,26.0,0,0.0,4
22.0,0,2,1,3,42.0,39.0,39.0,56.0,46.0,0,0.0,4
18.0,0,2,1,3,50.0,33.0,49.0,44.0,36.0,0,0.0,4
30.0,1,3,1,2,41.0,59.0,42.0,34.0,51.0,0,2.0,4
40.0,0,1,1,1,42.0,41.0,43.0,50.0,41.0,0,0.0,4
176.0,0,2,2,2,47.0,47.0,41.0,42.0,51.0,0,0.0,4
126.0,0,2,1,1,42.0,31.0,57.0,47.0,51.0,0,0.0,4
197.0,0,3,2,2,50.0,42.0,50.0,36.0,61.0,0,0.0,5
46.0,1,1,1,2,45.0,55.0,44.0,34.0,41.0,0,2.0,5
49.0,0,3,1,3,50.0,40.0,39.0,49.0,47.0,0,0.0,5
8.0,1,1,1,2,39.0,44.0,52.0,44.0,48.0,0,0.0,5
124.0,1,1,1,3,42.0,54.0,41.0,42.0,41.0,0,1.0,5
13.0,1,2,1,3,47.0,46.0,39.0,47.0,61.0,0,0.0,5
111.0,1,1,1,1,39.0,54.0,39.0,47.0,36.0,0,1.0,5
142.0,1,2,1,3,47.0,42.0,52.0,39.0,51.0,0,0.0,5
193.0,1,2,2,2,44.0,49.0,48.0,39.0,51.0,0,0.0,5
105.0,1,2,1,2,50.0,41.0,45.0,44.0,56.0,0,0.0,5
58.0,0,2,1,3,55.0,41.0,40.0,44.0,41.0,0,0.0,5
129.0,1,1,1,1,44.0,44.0,46.0,47.0,51.0,0,0.0,6
38.0,0,1,1,2,45.0,57.0,50.0,31.0,56.0,0,2.0,6
182.0,1,2,2,2,44.0,52.0,43.0,44.0,51.0,0,1.0,6
115.0,0,1,1,1,42.0,49.0,43.0,50.0,56.0,0,0.0,6
14.0,0,3,1,2,47.0,41.0,54.0,42.0,56.0,0,0.0,6
175.0,1,3,2,1,36.0,57.0,42.0,50.0,41.0,0,2.0,6
44.0,1,1,1,3,47.0,62.0,45.0,34.0,46.0,1,3.0,6
86.0,0,3,1,1,44.0,33.0,54.0,58.0,31.0,0,0.0,6
72.0,1,2,1,3,42.0,54.0,47.0,47.0,46.0,0,1.0,6
41.0,0,2,1,2,50.0,40.0,45.0,55.0,56.0,0,0.0,7
191.0,1,3,2,2,47.0,52.0,43.0,48.0,61.0,0,1.0,7
138.0,1,2,1,3,43.0,57.0,40.0,50.0,51.0,0,2.0,7
9.0,0,2,1,3,48.0,49.0,52.0,44.0,51.0,0,0.0,7
151.0,1,2,1,3,47.0,46.0,52.0,48.0,46.0,0,0.0,7
119.0,1,1,1,1,42.0,57.0,45.0,50.0,43.0,0,2.0,7
55.0,1,2,2,2,52.0,49.0,49.0,44.0,61.0,0,0.0,7
73.0,1,2,1,2,50.0,52.0,53.0,39.0,56.0,0,1.0,7
28.0,1,2,1,1,39.0,53.0,54.0,50.0,41.0,0,1.0,7
90.0,1,3,1,2,42.0,54.0,50.0,50.0,52.0,0,1.0,8
17.0,1,2,1,2,47.0,57.0,48.0,44.0,41.0,0,2.0,8
102.0,0,3,1,2,52.0,41.0,51.0,53.0,56.0,0,0.0,8
70.0,0,1,1,1,57.0,52.0,41.0,47.0,57.0,0,1.0,8
148.0,1,2,1,3,42.0,57.0,51.0,47.0,61.0,0,2.0,8
54.0,1,1,2,1,47.0,54.0,46.0,50.0,56.0,0,1.0,8
42.0,1,2,1,3,46.0,52.0,55.0,44.0,56.0,0,1.0,8
87.0,1,2,1,1,50.0,52.0,46.0,50.0,56.0,0,1.0,8
21.0,0,2,1,1,44.0,44.0,61.0,50.0,46.0,0,0.0,8
181.0,0,2,2,2,50.0,46.0,45.0,58.0,61.0,0,0.0,8
165.0,0,1,1,3,36.0,49.0,54.0,61.0,36.0,0,0.0,8
78.0,1,2,1,2,39.0,54.0,54.0,53.0,41.0,0,1.0,9
76.0,0,3,1,2,47.0,52.0,51.0,50.0,56.0,0,1.0,9
29.0,0,1,1,1,52.0,44.0,49.0,55.0,41.0,0,0.0,9
91.0,1,3,1,3,50.0,49.0,56.0,47.0,46.0,0,0.0,9
52.0,1,1,1,2,50.0,46.0,53.0,53.0,66.0,0,0.0,9
10.0,1,2,1,1,47.0,54.0,49.0,53.0,61.0,0,1.0,9
85.0,0,2,1,1,55.0,39.0,57.0,53.0,46.0,0,0.0,9
50.0,0,2,1,1,50.0,59.0,42.0,53.0,61.0,0,2.0,9
56.0,0,2,1,3,55.0,45.0,46.0,58.0,51.0,0,0.0,9
64.0,1,3,1,3,50.0,52.0,45.0,58.0,36.0,0,1.0,10
130.0,1,3,1,1,43.0,54.0,55.0,55.0,46.0,0,1.0,10
141.0,0,3,1,3,63.0,44.0,47.0,53.0,56.0,0,0.0,10
74.0,1,2,1,2,57.0,50.0,50.0,51.0,58.0,0,1.0,10
83.0,1,2,1,3,50.0,62.0,41.0,55.0,31.0,1,3.0,10
31.0,1,2,2,1,55.0,59.0,52.0,42.0,56.0,0,2.0,10
172.0,0,2,1,2,47.0,52.0,57.0,53.0,61.0,0,1.0,10
184.0,1,2,2,3,50.0,52.0,53.0,55.0,56.0,0,1.0,10
75.0,0,2,1,3,60.0,46.0,51.0,53.0,61.0,0,0.0,10
187.0,1,2,2,1,57.0,41.0,57.0,55.0,52.0,0,0.0,10
113.0,0,2,1,2,44.0,52.0,51.0,63.0,61.0,0,1.0,11
162.0,1,2,1,3,57.0,52.0,40.0,61.0,56.0,0,1.0,11
110.0,1,2,1,3,52.0,55.0,50.0,54.0,61.0,0,2.0,11
150.0,0,2,1,3,42.0,41.0,57.0,72.0,31.0,0,0.0,11
167.0,0,2,1,1,63.0,49.0,35.0,66.0,41.0,0,0.0,11
77.0,1,1,1,2,61.0,59.0,49.0,44.0,66.0,0,2.0,11
35.0,1,1,2,1,60.0,54.0,50.0,50.0,51.0,0,1.0,11
158.0,1,2,1,1,52.0,54.0,55.0,53.0,51.0,0,1.0,11
112.0,1,2,1,2,52.0,59.0,48.0,55.0,61.0,0,2.0,11
48.0,0,2,1,2,57.0,55.0,52.0,50.0,51.0,0,2.0,11
147.0,1,1,1,2,47.0,62.0,53.0,53.0,61.0,1,3.0,11
7.0,0,2,1,2,57.0,54.0,59.0,47.0,51.0,0,1.0,11
65.0,1,2,1,2,55.0,54.0,66.0,42.0,56.0,0,1.0,12
168.0,0,2,1,2,52.0,54.0,57.0,55.0,51.0,0,1.0,12
190.0,1,2,2,2,47.0,59.0,54.0,58.0,46.0,0,2.0,12
178.0,0,2,2,3,47.0,57.0,57.0,58.0,46.0,0,2.0,12
159.0,0,3,1,2,55.0,61.0,54.0,49.0,61.0,1,3.0,12
120.0,1,3,1,2,63.0,52.0,54.0,50.0,51.0,0,1.0,12
116.0,1,2,1,2,57.0,59.0,54.0,50.0,56.0,0,2.0,12
79.0,1,2,1,2,60.0,62.0,49.0,50.0,51.0,1,3.0,12
98.0,1,1,1,3,57.0,60.0,51.0,53.0,37.0,1,2.0,12
122.0,1,2,1,2,52.0,59.0,58.0,53.0,66.0,0,2.0,12
179.0,1,2,2,2,47.0,65.0,60.0,50.0,56.0,1,5.0,13
198.0,1,3,2,2,47.0,61.0,51.0,63.0,31.0,1,3.0,13
189.0,0,2,2,2,47.0,59.0,63.0,53.0,46.0,0,2.0,13
199.0,0,3,2,2,52.0,59.0,50.0,61.0,61.0,0,2.0,13
156.0,1,2,1,2,50.0,59.0,53.0,61.0,61.0,0,2.0,13
166.0,1,2,1,2,52.0,59.0,53.0,61.0,51.0,0,2.0,13
160.0,1,2,1,2,55.0,65.0,55.0,50.0,61.0,1,5.0,13
152.0,1,3,1,2,55.0,57.0,56.0,58.0,61.0,0,2.0,13
183.0,0,2,2,2,63.0,59.0,49.0,55.0,71.0,0,2.0,13
94.0,0,3,1,2,55.0,49.0,61.0,61.0,56.0,0,0.0,14
149.0,0,1,1,1,63.0,49.0,49.0,66.0,46.0,0,0.0,14
131.0,1,3,1,2,65.0,59.0,57.0,46.0,66.0,0,2.0,14
24.0,0,2,1,2,52.0,62.0,66.0,47.0,46.0,1,3.0,14
99.0,1,3,1,1,47.0,59.0,56.0,66.0,61.0,0,2.0,14
171.0,0,2,1,2,60.0,54.0,60.0,55.0,66.0,0,1.0,14
104.0,0,3,1,2,54.0,63.0,57.0,55.0,46.0,1,4.0,14
81.0,0,1,1,2,63.0,43.0,59.0,65.0,44.0,0,0.0,14
97.0,0,3,1,2,60.0,54.0,58.0,58.0,61.0,0,1.0,14
20.0,0,3,1,2,60.0,52.0,57.0,61.0,61.0,0,1.0,14
163.0,1,1,1,2,52.0,57.0,64.0,58.0,56.0,0,2.0,15
195.0,0,2,2,1,57.0,57.0,60.0,58.0,56.0,0,2.0,15
84.0,0,2,1,1,63.0,57.0,54.0,58.0,51.0,0,2.0,15
27.0,0,2,1,2,53.0,61.0,61.0,57.0,56.0,1,3.0,15
118.0,1,2,1,1,55.0,62.0,58.0,58.0,61.0,1,3.0,15
71.0,1,2,1,1,57.0,62.0,56.0,58.0,66.0,1,3.0,15
63.0,1,1,1,1,52.0,65.0,60.0,56.0,51.0,1,5.0,15
185.0,0,2,2,2,63.0,57.0,55.0,58.0,41.0,0,2.0,15
127.0,0,3,1,2,63.0,59.0,57.0,55.0,56.0,0,2.0,15
177.0,0,2,2,2,55.0,59.0,62.0,58.0,51.0,0,2.0,15
188.0,1,3,2,2,63.0,62.0,56.0,55.0,61.0,1,3.0,16
60.0,0,2,1,2,57.0,65.0,51.0,63.0,61.0,1,5.0,16
66.0,1,2,1,3,68.0,62.0,56.0,50.0,51.0,1,3.0,16
173.0,1,1,1,1,50.0,62.0,61.0,63.0,51.0,1,3.0,16
186.0,1,2,2,2,57.0,62.0,63.0,55.0,41.0,1,3.0,16
96.0,1,3,1,2,65.0,54.0,61.0,58.0,56.0,0,1.0,16
101.0,1,3,1,2,60.0,62.0,67.0,50.0,56.0,1,3.0,16
3.0,0,1,1,2,63.0,65.0,48.0,63.0,56.0,1,5.0,16
170.0,0,3,1,2,47.0,62.0,61.0,69.0,66.0,1,3.0,16
92.0,1,3,1,1,52.0,67.0,57.0,63.0,61.0,1,7.0,16
62.0,0,3,1,1,65.0,65.0,48.0,63.0,66.0,1,5.0,16
135.0,1,1,1,2,63.0,60.0,65.0,54.0,66.0,1,2.0,17
26.0,1,3,1,2,60.0,59.0,62.0,61.0,51.0,0,2.0,17
139.0,1,2,1,2,68.0,59.0,61.0,55.0,71.0,0,2.0,17
121.0,1,2,1,3,68.0,59.0,53.0,63.0,61.0,0,2.0,17
144.0,0,3,1,1,60.0,65.0,58.0,61.0,66.0,1,5.0,17
146.0,0,3,1,2,55.0,62.0,64.0,63.0,66.0,1,3.0,17
137.0,1,3,1,2,63.0,65.0,65.0,53.0,61.0,1,5.0,17
123.0,0,3,1,1,68.0,59.0,56.0,63.0,66.0,0,2.0,18
169.0,0,1,1,1,55.0,59.0,63.0,69.0,46.0,0,2.0,18
34.0,1,3,2,2,73.0,61.0,57.0,55.0,66.0,1,3.0,18
33.0,1,1,1,2,57.0,65.0,72.0,54.0,56.0,1,5.0,18
32.0,1,3,1,3,50.0,67.0,66.0,66.0,56.0,1,7.0,18
114.0,0,3,1,2,68.0,65.0,62.0,55.0,61.0,1,5.0,18
125.0,1,1,1,2,68.0,65.0,58.0,59.0,56.0,1,5.0,18
59.0,1,2,1,2,65.0,67.0,63.0,55.0,71.0,1,7.0,18
23.0,1,1,1,2,65.0,65.0,64.0,58.0,71.0,1,5.0,18
161.0,1,1,1,2,57.0,62.0,72.0,61.0,61.0,1,3.0,18
103.0,0,3,1,2,76.0,52.0,64.0,64.0,61.0,0,1.0,19
194.0,1,3,2,2,63.0,63.0,69.0,61.0,61.0,1,4.0,19
136.0,0,2,1,2,65.0,59.0,70.0,63.0,51.0,0,2.0,19
154.0,0,3,1,2,65.0,65.0,66.0,61.0,66.0,1,5.0,19
157.0,0,2,1,1,68.0,59.0,58.0,74.0,66.0,0,2.0,19
93.0,1,3,1,2,73.0,67.0,62.0,58.0,66.0,1,7.0,19
39.0,1,3,1,2,66.0,67.0,67.0,61.0,66.0,1,7.0,19
88.0,1,3,1,2,68.0,60.0,64.0,69.0,66.0,1,2.0,19
192.0,0,3,2,2,65.0,67.0,63.0,66.0,71.0,1,7.0,19
80.0,0,3,1,2,65.0,62.0,68.0,66.0,66.0,1,3.0,19
200.0,0,2,2,2,68.0,54.0,75.0,66.0,66.0,0,1.0,19
180.0,1,3,2,2,71.0,65.0,69.0,58.0,71.0,1,5.0,20
82.0,1,3,1,2,68.0,62.0,65.0,69.0,61.0,1,3.0,20
174.0,0,2,2,2,68.0,59.0,71.0,66.0,56.0,0,2.0,20
95.0,0,3,1,2,73.0,60.0,71.0,61.0,71.0,1,2.0,20
61.0,1,3,1,2,76.0,63.0,60.0,67.0,66.0,1,4.0,20
100.0,1,3,1,2,63.0,65.0,71.0,69.0,71.0,1,5.0,20
143.0,0,2,1,3,63.0,63.0,75.0,72.0,66.0,1,4.0,20
68.0,0,2,1,2,73.0,67.0,71.0,63.0,66.0,1,7.0,20
57.0,1,2,1,2,71.0,65.0,72.0,66.0,56.0,1,5.0,20
132.0,0,2,1,2,73.0,62.0,73.0,69.0,66.0,1,3.0,20
